Department of Audits and Accounts,,,,
Obligations,,,,
,Organization,Vendor Name,Obligation Amount,Fiscal Year
,GEORGIA STATE UNIVERSITY,"CAMPOS,RAC-001",4400.00,2011
,GEORGIA STATE UNIVERSITY,"CANNON,DEB-001",430.26,2011
,GEORGIA STATE UNIVERSITY,CANONBUSIN-002,18239.52,2011
,GEORGIA STATE UNIVERSITY,CANONUSAIN-001,27453.94,2011
,GEORGIA STATE UNIVERSITY,"CAO,XIAOJU-001",3246.00,2011
,GEORGIA STATE UNIVERSITY,CARLZEISSM-001,26528.78,2011
,GEORGIA STATE UNIVERSITY,CARLZEISSM-002,800.00,2011
,GEORGIA STATE UNIVERSITY,CARLZEISSS-002,7732.38,2011
,GEORGIA STATE UNIVERSITY,CARMICHAEL-030,838.50,2011
,GEORGIA STATE UNIVERSITY,CAROUSELIN-001,11481.60,2011
,GEORGIA STATE UNIVERSITY,"CARRILLO,D-001",228.48,2011
,GEORGIA STATE UNIVERSITY,CARSCADDON-002,1000.00,2011
,GEORGIA STATE UNIVERSITY,"CARTER,PAT-001",1947.00,2011
,GEORGIA STATE UNIVERSITY,CASAGRANDE-001,156.65,2011
,GEORGIA STATE UNIVERSITY,"CASSEUS,KA-001",260.90,2011
,GEORGIA STATE UNIVERSITY,CATHOLICUN-001,10237.02,2011
,GEORGIA STATE UNIVERSITY,"CAUSEY,TAR-001",200.00,2011
,GEORGIA STATE UNIVERSITY,CBRICHARDE-001,3500.00,2011
,GEORGIA STATE UNIVERSITY,CDWGOVERNM-001,7259.34,2011
,GEORGIA STATE UNIVERSITY,CENTERFORT-002,256938.96,2011
,GEORGIA STATE UNIVERSITY,CFCGROUPLL-001,5007.12,2011
,GEORGIA STATE UNIVERSITY,CFGROUP-001,33779.90,2011
,GEORGIA STATE UNIVERSITY,"CHAHINE,IM-001",3294.20,2011
,GEORGIA STATE UNIVERSITY,"CHAMBERS,M-001",1757.04,2011
,GEORGIA STATE UNIVERSITY,CHANGHOFFM-001,36.72,2011
,GEORGIA STATE UNIVERSITY,"CHATELAIN,-002",2.00,2011
,GEORGIA STATE UNIVERSITY,"CHEN,YANYI-001",652.45,2011
,GEORGIA STATE UNIVERSITY,CHILDRENSC-001,18000.00,2011
,GEORGIA STATE UNIVERSITY,"CHOI,JAYOU-002",315.00,2011
,GEORGIA STATE UNIVERSITY,CHROMCRAFT-001,212595.24,2011
,GEORGIA STATE UNIVERSITY,"CHURCHILL,-001",200.00,2011
,GEORGIA STATE UNIVERSITY,CITYOFATLA-003,464444.97,2011
,GEORGIA STATE UNIVERSITY,"CLARK,JOHN-001",608.00,2011
,GEORGIA STATE UNIVERSITY,"CLARK,PATR-001",336.56,2011
,GEORGIA STATE UNIVERSITY,"CLARK,TAMM-001",713.00,2011
,GEORGIA STATE UNIVERSITY,CLARKEUNIV-001,1956.22,2011
,GEORGIA STATE UNIVERSITY,"CLINE,JENN-001",4270.23,2011
,GEORGIA STATE UNIVERSITY,CNNA ARCHI-001,2980.00,2011
,GEORGIA STATE UNIVERSITY,"COHEN,LIND-001",2500.00,2011
,GEORGIA STATE UNIVERSITY,COHERENTIN-001,1100.00,2011
,GEORGIA STATE UNIVERSITY,"COLE,REGIN-001",389.50,2011
,GEORGIA STATE UNIVERSITY,"COLLINS,CA-001",2150.01,2011
,GEORGIA STATE UNIVERSITY,COLOPROPER-001,1573.00,2011
,GEORGIA STATE UNIVERSITY,COLUMBUSST-003,54000.00,2011
,GEORGIA STATE UNIVERSITY,COMMERCECL-002,578.00,2011
,GEORGIA STATE UNIVERSITY,COMPREHENS-002,8937.50,2011
,GEORGIA STATE UNIVERSITY,COMPUTERCO-001,26483.50,2011
,GEORGIA STATE UNIVERSITY,"CONNELL,SA-001",150.00,2011
,GEORGIA STATE UNIVERSITY,CONTRACTFL-001,9930.00,2011
,GEORGIA STATE UNIVERSITY,CONTRACTHA-001,25620.00,2011
,GEORGIA STATE UNIVERSITY,CONTROLTER-001,6978.84,2011
,GEORGIA STATE UNIVERSITY,"COOPER,KAR-001",9.00,2011
,GEORGIA STATE UNIVERSITY,COREBUSINE-001,4827.00,2011
,GEORGIA STATE UNIVERSITY,"CORK,DANAD-001",675.00,2011
,GEORGIA STATE UNIVERSITY,CORPORATEN-001,15703.51,2011
,GEORGIA STATE UNIVERSITY,"COURTNEY,S-001",728.07,2011
,GEORGIA STATE UNIVERSITY,COVENDISTE-001,552769.00,2011
,GEORGIA STATE UNIVERSITY,COVERAGECO-001,61950.00,2011
,GEORGIA STATE UNIVERSITY,"COWART,MEL-001",1000.00,2011
,GEORGIA STATE UNIVERSITY,COYLABORAT-001,11784.00,2011
,GEORGIA STATE UNIVERSITY,CPPINC-002,517.02,2011
,GEORGIA STATE UNIVERSITY,"CRANWELL,L-001",80.58,2011
,GEORGIA STATE UNIVERSITY,CRAPPSWILL-001,10910.16,2011
,GEORGIA STATE UNIVERSITY,CREATIVEOF-001,8860.28,2011
,GEORGIA STATE UNIVERSITY,"CRIMMINS,D-001",4510.17,2011
,GEORGIA STATE UNIVERSITY,CRLCONSULT-001,22484.18,2011
,GEORGIA STATE UNIVERSITY,"CROW,SIDNE-001",715.00,2011
,GEORGIA STATE UNIVERSITY,"CRUZE,JENN-001",394.01,2011
,GEORGIA STATE UNIVERSITY,CUSTOMKITC-001,1545.00,2011
,GEORGIA STATE UNIVERSITY,CVENTINC-001,4500.00,2011
,GEORGIA STATE UNIVERSITY,"DABNEY,DEA-001",240.01,2011
,GEORGIA STATE UNIVERSITY,"DARNELL,DO-001",700.00,2011
,GEORGIA STATE UNIVERSITY,DATALINK C-001,24490.00,2011
,GEORGIA STATE UNIVERSITY,DAVIDEDWAR-001,11449.21,2011
,GEORGIA STATE UNIVERSITY,"DAVIS,TANY-001",961.75,2011
,GEORGIA STATE UNIVERSITY,"DAVISON,CA-001",966.59,2011
,GEORGIA STATE UNIVERSITY,DEHAANROBE-002,10000.00,2011
,GEORGIA STATE UNIVERSITY,DEKALBCOUN-005,975.57,2011
,GEORGIA STATE UNIVERSITY,DEKALBOFFI-001,582542.69,2011
,GEORGIA STATE UNIVERSITY,DELIGONULS-001,14135.00,2011
,GEORGIA STATE UNIVERSITY,DELLMARKET-001,758190.21,2011
,GEORGIA STATE UNIVERSITY,"DEMIR,KADI-001",1001.00,2011
,GEORGIA STATE UNIVERSITY,"DERBY,CHAR-001",394.40,2011
,GEORGIA STATE UNIVERSITY,"DESERRANO,-001",180.00,2011
,GEORGIA STATE UNIVERSITY,"DIAZ,JESSI-001",1747.10,2011
,GEORGIA STATE UNIVERSITY,"DIAZ,MONIC-001",751.08,2011
,GEORGIA STATE UNIVERSITY,DIFFENDERF-001,316.00,2011
,GEORGIA STATE UNIVERSITY,DIMASCONSU-001,96937.48,2011
,GEORGIA STATE UNIVERSITY,"DIMEO,MICH-001",710.70,2011
,GEORGIA STATE UNIVERSITY,DIVERSIFIE-008,1292.82,2011
,GEORGIA STATE UNIVERSITY,DKLIPPYCON-001,7163.20,2011
,GEORGIA STATE UNIVERSITY,DMMECHANIC-001,25872.00,2011
,GEORGIA STATE UNIVERSITY,DOCUTEAM-001,456.28,2011
,GEORGIA STATE UNIVERSITY,DOERRBRIDG-001,15475.00,2011
,GEORGIA STATE UNIVERSITY,DONNELLYEL-001,200.00,2011
,GEORGIA STATE UNIVERSITY,"DOUGLAS,ST-001",1414.03,2011
,GEORGIA STATE UNIVERSITY,"DOYAGUE,LA-001",1000.00,2011
,GEORGIA STATE UNIVERSITY,"DRUMMOND,R-001",94.45,2011
,GEORGIA STATE UNIVERSITY,"DUBOIS,COU-001",720.24,2011
,GEORGIA STATE UNIVERSITY,"DUHAIME,IR-001",2835.73,2011
,GEORGIA STATE UNIVERSITY,"DUNCAN,ANN-001",4359.00,2011
,GEORGIA STATE UNIVERSITY,DURHAMCROU-001,18700.00,2011
,GEORGIA STATE UNIVERSITY,DYNAMICLAS-001,5170.25,2011
,GEORGIA STATE UNIVERSITY,ECONOMICMO-001,8500.00,2011
,GEORGIA STATE UNIVERSITY,"EDMUNDSON,-001",1859.01,2011
